10	Preparatory systems
45-35-60/325	Spinning poles	45-35-60
45-35-60/327	Swings	45-35-60
45-35-60/331	Combined play structures	45-35-60
45-35-60/333	Sensory play structures	45-35-60
45-35-60/335	Imaginative play structures	45-35-60
45-35-60/337	Play panels	45-35-60
45-35-60/339	Modular climbers	45-35-60
45-35-60/341	Climbing frames	45-35-60
45-35-60/351	Water play fountains	45-35-60
45-35-60/353	Water play structures	45-35-60
45-35-60/355	Pools	45-35-60
45-35-60/357	Sandpits	45-35-60
45-35-60/361	Space nets	45-35-60
45-35-60/363	Climbing walls	45-35-60
45-35-60/371	Balancing equipment	45-35-60
45-35-60/373	Jumping equipment	45-35-60
45-35-60/375	Hanging and stretching equipment	45-35-60
45-35-60/381	Cycle ramps	45-35-60
45-35-60/383	Platforms	45-35-60
45-35-60/385	Skate pipes	45-35-60
45-35-60/387	Skate ramps	45-35-60
45-35-60/389	Skate stairs	45-35-60
45-35-60/391	Skate bowls	45-35-60
45-35-60/393	Skate rails	45-35-60
45-35-60/395	Skate edges	45-35-60
45-35-60/401	Riding equipment	45-35-60
45-35-60/411	Basketball hoops	45-35-60
45-35-60/413	Hockey goals	45-35-60
45-35-60/415	Handball goals	45-35-60
45-35-60/417	Football goals	45-35-60
45-35-60/419	Netball goals	45-35-60
45-35-60/421	Rugby posts	45-35-60
45-35-60/425	Tennis nets	45-35-60
45-35-60/429	Volleyball nets	45-35-60
45-35-60/431	Umpire's stands	45-35-60
45-35-60/433	Cricket cages	45-35-60
45-35-60/435	Stump boxes to cricket wickets	45-35-60
45-35-62	Preparation materials, fillers and stoppers	45-35
45-35-62/305	Preparation materials	45-35-62
45-35-62/315	Abrasives	45-35-62
45-35-62/325	Cleaner	45-35-62
45-35-62/330	Degreaser solution	45-35-62
45-35-62/335	Detergent solutions	45-35-62
45-35-62/340	Efflorescence control compound	45-35-62
45-35-62/350	Knotting	45-35-62
45-35-62/355	Masonry stabilizers	45-35-62
45-35-62/370	Rust removers	45-35-62
45-35-62/375	Sugar soap	45-35-62
45-35-62/380	Wetting agents	45-35-62
45-35-62/400	Decorator’s caulks	45-35-62
45-35-62/405	Decorator’s flexible fillers	45-35-62
45-35-62/410	Edge sealants	45-35-62
45-35-62/415	End grain sealers	45-35-62
45-35-62/425	Fine surface fillers	45-35-62
45-35-62/430	Fire-resistant fillers	45-35-62
45-35-62/435	Gypsum-based bedding compounds	45-35-62
45-35-62/440	Finishing compounds	45-35-62
45-35-62/445	Stoppers	45-35-62
45-35-62/450	Stopper fillers	45-35-62
45-35-62/455	Surface fillers	45-35-62
45-35-62/460	Wax fillers	45-35-62
45-35-64	Primers, undercoats and basecoats	45-35
45-35-64/305	Alkali-resisting primers	45-35-64
45-35-64/310	Metallic lead primers	45-35-64
45-35-64/315	Non bituminous primers	45-35-64
45-35-64/318	Primers for floor coverings	45-35-64
45-35-64/320	Primers for paving	45-35-64
45-35-64/325	Primers for plasterboard	45-35-64
45-35-64/330	Primers for bituminous emulsion paint for slip planes	45-35-64
45-35-64/335	Primers for mastic asphalt	45-35-64
45-35-64/340	Primers for plaster	45-35-64
45-35-64/345	Primers for resin coatings	45-35-64
45-35-64/350	Primers for sealant	45-35-64
45-35-64/355	Primer-sealers	45-35-64
45-35-64/360	Primer-undercoats	45-35-64
45-35-64/363	Sanded primer	45-35-64
45-35-64/365	Solvent-borne primers for metal	45-35-64
45-35-64/370	Solvent-borne primers for wood	45-35-64
45-35-64/375	Universal primers	45-35-64
45-35-64/377	Water based acrylic primers	45-35-64
45-35-64/380	Water-borne primers for metal	45-35-64
45-35-64/385	Water-borne primers for wood	45-35-64
45-35-64/390	Basecoat stains	45-35-64
45-35-64/395	Solvent-borne basecoats	45-35-64
45-35-64/400	Solvent-borne undercoats	45-35-64
45-35-64/405	Water-borne basecoats	45-35-64
45-35-64/410	Water-borne thinned undercoats	45-35-64
45-35-64/415	Water-borne undercoats	45-35-64
45-35-64/420	Barrier coats	45-35-64
45-35-64/425	Bonding coats	45-35-64
45-35-64/430	Combined barrier and bonding coats	45-35-64
45-35-70	Sanitary fittings & fixtures	45-35
45-35-70/310	Accessible baths	45-35-70
45-35-70/311	Baths	45-35-70
45-35-70/312	Health care general baths	45-35-70
45-35-70/313	Whirlpool baths	45-35-70
45-35-70/314	Wastes for baths	45-35-70
45-35-70/315	Water supply fittings for baths	45-35-70
45-35-70/316	Bath panels	45-35-70
45-35-70/320	Bidets	45-35-70
45-35-70/321	Hospital pattern bidets	45-35-70
45-35-70/322	Wastes for bidets	45-35-70
45-35-70/323	Water supply fittings for bidets	45-35-70
45-35-70/330	Shower fittings package	45-35-70
45-35-70/331	Shower curtains	45-35-70
45-35-70/332	Shower enclosures	45-35-70
45-35-70/333	Shower heads	45-35-70
45-35-70/334	Shower curtain rails	45-35-70
45-35-70/335	Shower mixers	45-35-70
45-35-70/336	Shower trays	45-35-70
45-35-70/337	Wastes for shower trays	45-35-70
45-35-70/340	Ceramic sinks	45-35-70
45-35-70/341	Health care clinical sinks with drainers	45-35-70
45-35-70/342	Health care domestic service sinks	45-35-70
45-35-70/343	Hospital pattern plaster sinks	45-35-70
45-35-70/344	Sinks	45-35-70
45-35-70/345	Water supply fittings for sinks	45-35-70
45-35-70/346	Wastes for sinks	45-35-70
45-35-70/347	Supports for sinks	45-35-70
45-35-70/350	Wall hung urinals	45-35-70
45-35-70/351	Hospital pattern urinals	45-35-70
45-35-70/352	Slab urinals	45-35-70
45-35-70/353	Waterless urinals	45-35-70
45-35-70/354	Urinal cisterns	45-35-70
45-35-70/355	Urinal flushing valves	45-35-70
45-35-70/356	Urinal flush pipes	45-35-70
45-35-70/357	Wastes for urinals	45-35-70
45-35-70/360	Counter top wash basins	45-35-70
45-35-70/361	Health care clinical wash basins	45-35-70
45-35-70/362	Health care general wash basins	45-35-70
45-35-70/363	Health care hand rinse basins	45-35-70
45-35-70/364	Hospital pattern scrub-up troughs	45-35-70
45-35-70/365	Pedestal wash basins	45-35-70
45-35-70/366	Undermounted wash basins	45-35-70
45-35-70/367	Vanity tops with integral wash basins	45-35-70
45-35-70/368	Wall hung hand rinse basins	45-35-70
45-35-70/369	Wall hung wash basins	45-35-70
45-35-70/370	Wash troughs	45-35-70
45-35-70/371	Water supply fittings for wash basins and troughs	45-35-70
45-35-70/372	Wastes for wash basins	45-35-70
45-35-70/373	Wastes for scrub-up troughs and wash troughs	45-35-70
45-35-70/374	Supports for wash basins	45-35-70
45-35-70/380	WC suites	45-35-70
45-35-70/381	Hospital pattern disposal units	45-35-70
45-35-70/382	Hospital pattern WC pans and cisterns	45-35-70
45-35-70/383	WC cisterns	45-35-70
45-35-70/384	WC pans	45-35-70
45-35-70/385	WC squatting pans	45-35-70
45-35-70/386	WC large capacity replacement cisterns	45-35-70
45-35-70/387	WC cistern fittings	45-35-70
45-35-70/388	WC cistern flush pipes	45-35-70
45-35-70/389	WC flushing valves	45-35-70
45-35-70/390	WC pan connectors	45-35-70
45-35-70/391	WC seats and covers	45-35-70
45-35-70/392	WC washdown hoses	45-35-70
45-35-70/393	Wall hung WC support brackets	45-35-70
45-35-70/400	Drinking fountain packages	45-35-70
45-35-70/401	Janitorial units	45-35-70
45-35-70/402	Sauna room packages	45-35-70
45-35-70/403	Shower enclosure packages	45-35-70
45-35-70/404	Steam cabinet packages	45-35-70
45-35-70/405	Steam room packages	45-35-70
45-35-70/406	Wash fountain packages	45-35-70
45-35-70/407	Accessible WC Doc M equipment packages	45-35-70
45-35-70/408	Waterless WC packages (composting toilets)	45-35-70
45-35-70/409	WC, wash and dry combined units	45-35-70
45-35-70/410	WC and washbasin combined units	45-35-70
45-35-70/420	Health care macerators for clinical, hygiene and sanitary products	45-35-70
45-35-70/421	Preplumbed installation frames	45-35-70
45-35-70/422	Proximity sensor control units	45-35-70
45-35-72	Sanitary accessories	45-35
45-35-72/310	Adult changing benches	45-35-72
45-35-72/312	Air fresheners	45-35-72
45-35-72/314	Assisted transfer hoists	45-35-72
45-35-72/316	Baby changing units	45-35-72
45-35-72/318	Bathroom cabinets	45-35-72
45-35-72/320	Bathroom integrated ductwork	45-35-72
45-35-72/322	Clothes hooks	45-35-72
45-35-72/324	Clothes drying lines	45-35-72
45-35-72/326	Disposable apron dispensers	45-35-72
45-35-72/328	Disposable glove dispensers	45-35-72
45-35-72/330	Facial tissue dispensers	45-35-72
45-35-72/332	Hand cleaning gel dispensers	45-35-72
45-35-72/334	Hand driers	45-35-72
45-35-72/336	Mirrors	45-35-72
45-35-72/338	Nappy disposal bins	45-35-72
45-35-72/340	Needle disposal boxes	45-35-72
45-35-72/342	Paper roll dispensers	45-35-72
45-35-72/344	Paper towel dispensers	45-35-72
45-35-72/346	Privacy curtains	45-35-72
45-35-72/348	Sanitary towel dispensers	45-35-72
45-35-72/350	Sanitary towel disposal bins	45-35-72
45-35-72/352	Seating	45-35-72
45-35-72/354	Shelves	45-35-72
45-35-72/356	Soap dishes	45-35-72
45-35-72/358	Soap dispensers	45-35-72
45-35-72/360	Support rails	45-35-72
45-35-72/362	Surface wipes dispensers	45-35-72
45-35-72/364	Toilet brush holders	45-35-72
45-35-72/366	Toilet paper bulk dispensers	45-35-72
45-35-72/368	Toilet roll holders	45-35-72
45-35-72/370	Toothbrush holders	45-35-72
45-35-72/372	Towel rails	45-35-72
45-35-72/374	Towel rings	45-35-72
45-35-72/376	Tumbler holders	45-35-72
45-35-72/378	Vanity units	45-35-72
45-35-72/380	Waste bins	45-35-72
45-35-72/382	WC backrests	45-35-72
45-35-74	Safety equipment	45-35
45-35-74/310	Suspension rigs	45-35-74
45-35-74/320	Electrically powered winch	45-35-74
45-35-74/330	Hoist	45-35-74
45-35-74/340	Manual winch	45-35-74
45-35-74/350	Cradles	45-35-74
45-35-74/360	Gantries	45-35-74
45-35-74/370	Suspended chairs	45-35-74
45-35-74/380	Working platforms	45-35-74
45-35-74/390	Fall arrest devices	45-35-74
45-35-74/400	Mullion guides	45-35-74
45-35-74/410	Suspension rope restraints	45-35-74
45-35-74/420	Protection netting	45-35-74
45-35-74/430	Safety netting	45-35-74
45-35-74/440	Travelling ladders	45-35-74
45-35-74/450	Hoisting equipment storage units	45-35-74
45-35-74/460	Harness and lanyard	45-35-74
45-35-74/470	Robotic cleaning units	45-35-74
45-35-74/480	Track	45-35-74
45-35-74/490	Working platform storage units	45-35-74
45-35-80	Shelving, storage and panel partition units	45-35
45-35-80/310	Shelf units	45-35-80
45-35-80/320	Shelves	45-35-80
45-35-80/330	Classroom storage	45-35-80
45-35-80/340	Kitchen storage units	45-35-80
45-35-80/350	Laboratory storage	45-35-80
45-35-80/360	Office storage	45-35-80
45-35-80/370	Security cages	45-35-80
45-35-80/380	Lockers	45-35-80
45-35-80/410	Media wall partition units	45-35-80
45-35-80/420	Panel partitions	45-35-80
45-35-80/430	Storage wall partition units	45-35-80
45-35-82	Signs	45-35
45-35-82/305	'A' boards	45-35-82
45-35-82/310	Alpha numeric characters	45-35-82
45-35-82/315	Audible signs	45-35-82
45-35-82/320	Banner signs	45-35-82
45-35-82/325	Cabinet signs	45-35-82
45-35-82/330	Computer generated signs	45-35-82
45-35-82/335	Digital poster displays	45-35-82
45-35-82/340	Dot matrix displays	45-35-82
45-35-82/345	Fire equipment signs	45-35-82
45-35-82/350	Escape route signs	45-35-82
45-35-82/355	Finger signs	45-35-82
45-35-82/360	Ladder signs	45-35-82
45-35-82/365	Liquid crystal display panels (LCD)	45-35-82
45-35-82/370	Mandatory action signs	45-35-82
45-35-82/375	Monoliths	45-35-82
45-35-82/380	Plaques	45-35-82
45-35-82/385	Plasma display panels	45-35-82
45-35-82/395	Prohibition signs	45-35-82
45-35-82/400	Road traffic signs	45-35-82
45-35-82/405	Safe condition signs	45-35-82
45-35-82/407	Signboards	45-35-82
45-35-82/410	Sliding cover signs	45-35-82
45-35-82/415	Warning signs	45-35-82
45-35-82/420	Warning marker signs	45-35-82
45-35-82/425	Waymarker posts	45-35-82
45-35-82/430	Waymarker discs	45-35-82
45-35-84	Site-applied finishes	45-35
45-35-84/302	Coating materials	45-35-84
45-35-84/304	Compatibility	45-35-84
45-35-84/306	Coating range	45-35-84
45-35-84/308	Generic colour codes	45-35-84
45-35-84/310	Solvent-borne gloss finishes	45-35-84
45-35-84/312	Solvent-borne mid-sheen finishes	45-35-84
45-35-84/314	Solvent-borne matt or flat finishes	45-35-84
45-35-84/316	Water-borne gloss finishes	45-35-84
45-35-84/318	Water-borne mid-sheen finishes	45-35-84
45-35-84/320	Water-borne matt or flat finishes	45-35-84
45-35-84/322	General purpose and contract paints	45-35-84
45-35-84/324	Aluminium paints	45-35-84
45-35-84/326	Micaceous iron oxide paints	45-35-84
45-35-84/328	Solvent-based finishing coats	45-35-84
45-35-84/330	Sealers for sprayed monolithic coatings	45-35-84
45-35-84/332	Finishing coats for sprayed monolithic coatings	45-35-84
45-35-84/334	Cement paints	45-35-84
45-35-84/336	Limewash	45-35-84
45-35-84/338	Distemper	45-35-84
45-35-84/340	Plant oil paints	45-35-84
45-35-84/342	Casein paints	45-35-84
45-35-84/344	Plastic texture paints	45-35-84
45-35-84/346	Floor paints	45-35-84
45-35-84/348	Multi-colour finish basecoats	45-35-84
45-35-84/350	Multi-colour finish spatter coats	45-35-84
45-35-84/352	Multi-colour finish glaze coats	45-35-84
45-35-84/354	Multi-colour coatings	45-35-84
45-35-84/356	Solvent-borne masonry paints	45-35-84
45-35-84/358	Water-borne masonry paints	45-35-84
45-35-84/360	Resin-based breathable masonry paints	45-35-84
45-35-84/362	Silicate-based masonry coatings	45-35-84
45-35-84/364	Intumescent protective coatings	45-35-84
45-35-84/366	Solar reflective paints	45-35-84
45-35-84/368	Black bitumen	45-35-84
45-35-84/370	Bitumen-based black paints	45-35-84
45-35-84/372	Tar-based black paints	45-35-84
45-35-84/374	Top sealer coats for intumescent coatings	45-35-84
45-35-84/376	Water-borne resin coatings	45-35-84
45-35-84/378	Epoxy underwater coatings	45-35-84
45-35-84/380	Luminous paints	45-35-84
45-35-84/382	Fungicidal paints	45-35-84
45-35-84/384	Anti-carbonation paints	45-35-84
45-35-84/386	Radiator enamels	45-35-84
45-35-84/388	Heat-resisting paints	45-35-84
45-35-84/390	Hygienic coatings	45-35-84
45-35-84/392	Anti-graffiti coatings	45-35-84
45-35-84/394	Anti-climb paints	45-35-84
45-35-84/396	Dry rot paints	45-35-84
45-35-84/398	Bituminous emulsion paints for slip planes	45-35-84
45-35-84/400	Light duty road markings	45-35-84
45-35-84/402	Thermoplastic road markings	45-35-84
45-35-84/404	Line marking paints	45-35-84
45-35-84/406	Flame-retardant clear finishes	45-35-84
45-35-84/408	Thinners	45-35-84
45-35-84/410	Clear varnishes	45-35-84
45-35-84/412	Polyurethane varnish for cork tiles	45-35-84
45-35-84/414	Clear floor varnishes	45-35-84
45-35-84/416	Yacht varnish	45-35-84
45-35-84/418	Semi-transparent wood stains or dyes	45-35-84
45-35-84/420	Floor dyes	45-35-84
45-35-84/422	Hard wax oil	45-35-84
45-35-84/424	Cellulose coating	45-35-84
45-35-84/426	Patination oil	45-35-84
45-35-84/428	Wood floor sealers	45-35-84
45-35-84/430	Sealers for cork flooring	45-35-84
45-35-84/432	Surface sealers for floors	45-35-84
45-35-84/434	Resin floor sealers	45-35-84
45-35-84/436	Lacquer	45-35-84
45-35-84/438	Floor polishes	45-35-84
45-35-84/440	Concrete polishes	45-35-84
45-35-84/442	Polishes for mastic asphalt	45-35-84
45-35-84/444	Gilding base coat	45-35-84
45-35-84/446	Gilding leaf	45-35-84
45-35-84/448	Gilding size	45-35-84
45-35-84/450	Parchment size	45-35-84
45-35-84/452	Concrete finishing coats	45-35-84
45-35-84/454	Flash coats	45-35-84
45-35-86	Street and site furniture	45-35
45-35-86/301	Carbon steel cycle stands	45-35-86
45-35-86/303	Stainless steel cycle stands	45-35-86
45-35-86/305	Hardwood cycle stands	45-35-86
45-35-86/311	Aluminium cycle lockers	45-35-86
45-35-86/313	Plastics cycle lockers	45-35-86
45-35-86/315	Carbon steel cycle lockers	45-35-86
45-35-86/317	Stainless steel cycle lockers	45-35-86
45-35-86/321	Benches	45-35-86
45-35-86/323	Seats	45-35-86
45-35-86/325	Picnic tables	45-35-86
45-35-86/327	Tables	45-35-86
45-35-86/331	Bin stores	45-35-86
45-35-86/333	Compost bins	45-35-86
45-35-86/335	Litter bins	45-35-86
45-35-86/337	Ashtrays	45-35-86
45-35-86/339	Cemetery baskets	45-35-86
45-35-86/341	Flagstaffs	45-35-86
45-35-86/343	Rotary clothes driers	45-35-86
45-35-86/345	Clocks	45-35-86
45-35-86/347	Proprietary sculpture and landscape art	45-35-86
45-35-86/349	Commissioned artworks	45-35-86
45-35-86/351	Dog kennels	45-35-86
45-35-86/353	Bat boxes	45-35-86
45-35-86/355	Bird boxes	45-35-86
45-35-86/357	Mammal houses	45-35-86
45-35-86/359	Insect houses	45-35-86
45-35-86/361	Nesting baskets	45-35-86
45-35-86/363	Animal feeding stations	45-35-86
45-35-86/365	Bird roosts	45-35-86
45-35-88	Surface sealers and concrete coatings	45-35
45-35-88/305	Debonding compounds	45-35-88
45-35-88/310	Reinforcement treatments	45-35-88
45-35-88/315	Anti-graffiti sealers	45-35-88
45-35-88/320	Bitumen-based impregnating sealers	45-35-88
45-35-88/325	Concrete sealers	45-35-88
45-35-88/330	Dustproofing sealers	45-35-88
45-35-88/335	Oil-resistant sealers for mastic asphalt	45-35-88
45-35-88/340	Paving sealers and stabilizers	45-35-88
45-35-88/345	Sealers	45-35-88
45-35-88/355	Sealers for dry shake finishes	45-35-88
45-35-88/360	Surface sealer for cement-based screeds	45-35-88
45-35-88/365	UV-resistant sealers	45-35-88
45-35-88/370	Adhesion promoters	45-35-88
45-35-88/375	Chalk	45-35-88
45-35-88/380	Curing coatings for concrete	45-35-88
45-35-88/385	Dressing compounds	45-35-88
45-35-88/390	Dry shake material for wearing surfaces	45-35-88
45-35-88/395	Dusting powders	45-35-88
45-35-88/400	Etching primers	45-35-88
45-35-88/405	Mordant solutions	45-35-88
45-35-88/410	Slip resistant surface treatments	45-35-88
45-35-88/415	Surface hardeners	45-35-88
45-35-88/420	Water repellents	45-35-88
45-35-90	Swimming pool fittings and equipment	45-35
45-35-90/305	Movable bulkheads (buoyancy aided)	45-35-90
45-35-90/310	Movable bulkheads (supported by pool structure)	45-35-90
45-35-90/315	Movable floors (buoyancy aided)	45-35-90
45-35-90/320	Movable floors (mechanical drive system)	45-35-90
45-35-90/325	Observation chairs (fixed)	45-35-90
45-35-90/330	Observation chairs (portable)	45-35-90
45-35-90/335	Diving boards (fixed domestic)	45-35-90
45-35-90/340	Diving boards (portable domestic)	45-35-90
45-35-90/345	Diving platforms	45-35-90
45-35-90/350	Diving springboards	45-35-90
