
B	COMPLETE BUILDINGS/ STRUCTURES/ UNITS
H11/560	TEST SEQUENCE - STANDARD LABORATORY AND DISCRETIONARY TESTS	H11
H11/630	SITE SPRAY BAR TEST	H11
H11/635	SITE HOSE TEST	H11
H11/650	TEST	H11
H11/655	WIND LOAD FATIGUE TEST, SMALL SPECIMEN	H11
H11/660	STRUCTURAL SEALANT GLAZING TESTS	H11
H11/710	ALUMINIUM ALLOY FRAMING SECTIONS	H11
H11/712	ALUMINIUM ALLOY SHEET	H11
H11/715	CARBON STEEL FRAMING SECTIONS/ REINFORCEMENT	H11
H11/717	CARBON STEEL SHEET	H11
H11/720	STAINLESS STEEL SHEET	H11
H11/725	PVC-U FRAMING SECTIONS	H11
H11/730	MECHANICAL FIXINGS	H11
H11/732	ADHESIVES	H11
H11/735	FIXING ANCHORS	H11
H11/737	GLASS GENERALLY	H11
H11/739	DIMENSIONAL TOLERANCES ON GLASS	H11
H11/741	DISTORTIONAL TOLERANCES ON GLASS	H11
H11/742	HEAT SOAKED THERMALLY TOUGHENED GLASS	H11
H11/745	INSULATING GLASS UNITS	H11
H11/747	GLASS EDGE CONDITION FOR STRUCTURAL SEALANT GLAZING	H11
H11/750	INFILL PANELS/ FACINGS	H11
H11/755	NATURAL STONE INFILL PANELS/ FACINGS	H11
H11/760	GASKETS	H11
H11/765	WEATHERSTRIPPING OF OPENING UNITS	H11
H11/770	GENERAL SEALANTS	H11
H11/772	CURTAIN WALLING JOINT ASSEMBLY SEALANTS	H11
H11/775	BONDING SEALANTS FOR STRUCTURAL SEALANT GLAZING	H11
H11/777	WEATHERSEALING FOR STRUCTURAL SEALANT GLAZING	H11
H11/780	THERMAL INSULATION	H11
H11/785	VAPOUR CONTROL LAYER	H11
H11/810	PROTECTIVE COATING OF CARBON STEEL FRAMING SECTIONS/ REINFORCEMENT	H11
H11/820	PROTECTIVE COATING OF CARBON STEEL MECHANICAL FIXINGS	H11
H11/830	POWDER COATING	H11
H11/840	ANODIZING	H11
H11/850	POLYVINYLIDENE FLUORIDE (PVDF) COATING OF ALUMINIUM ALLOY	H11
H11/910	GENERALLY	H11
H11/912	METALWORK	H11
H11/915	GLAZING	H11
H11/917	FIXINGS/ ADHESIVES APPLICATION	H11
H11/920	SEALANT APPLICATION	H11
H11/925	STRUCTURAL SEALANT GLAZING	H11
H11/930	ASSEMBLY	H11
H11/935	OPENABLE WINDOWS IN NATURALLY VENTILATED BUILDINGS	H11
H11/955	FIXING ANCHOR INSTALLATION	H11
H11/965	PRELIMINARY CURTAIN WALLING INSTALLATION	H11
H11/970	CURTAIN WALLING INSTALLATION	H11
H11/975	WELDING	H11
H11/980	INTERFACES	H11
H11/982	IRONMONGERY	H11
H11/985	MAINTENANCE	H11
H13	STRUCTURAL GLASS ASSEMBLIES	H
H13/115	STRUCTURAL GLASS ASSEMBLY	H13
H13/120	MATERIALS SPECIFICATION	H13
H13/205	CONTRACTOR'S DESIGN	H13
H13/210	COMPLETION OF DESIGN	H13
H13/215	STRUCTURAL DESIGN PROVIDED	H13
H13/225	INFORMATION TO BE PROVIDED BEFORE DETAILED DESIGN OF STRUCTURAL GLAZING	H13
H13/231	INFORMATION TO BE PROVIDED BEFORE FABRICATION OF STRUCTURAL GLAZING	H13
H13/241	LABELLED PRODUCT SAMPLES	H13
H13/251	LABELLED SAMPLES OF FIXINGS	H13
H13/261	MOCK-UP	H13
H13/331	GENERAL MOVEMENT	H13
H13/341	WEATHER RESISTANCE	H13
H13/351	AIR PERMEABILITY	H13
H13/355	WATER PENETRATION	H13
H13/361	HEAT CONSERVATION	H13
H13/371	VAPOUR CONTROL	H13
H13/381	SOLAR AND LIGHT CONTROL	H13
H13/391	THERMAL STRESS IN GLAZING	H13
H13/401	SOUND TRANSMITTANCE	H13
H13/411	ACCURACY OF ERECTION	H13
H13/421	SECURITY	H13
H13/430	ELECTRICAL CONDUCTIVITY AND EARTH BONDING	H13
H13/440	DURABILITY	H13
H13/475	DAYLIGHT PERFORMANCE	H13
H13/480	VIEW OUT	H13
H13/485	POTENTIAL FOR NATURAL VENTILATION	H13
H13/510	PROJECT TESTING – LABORATORY	H13
H13/520	PROJECT TESTING – SITE	H13
H13/610	GLASS GENERALLY	H13
H13/615	DIMENSIONAL TOLERANCES ON GLASS	H13
H13/617	DISTORTIONAL TOLERANCES ON GLASS	H13
H13/620	THERMALLY TOUGHENED GLASS	H13
H13/630	LAMINATED GLASS	H13
H13/640	SEALED INSULATING GLASS UNITS	H13
H13/650	STAINLESS STEEL ASSEMBLY FIXINGS AND/ OR SUPPORTS	H13
H13/660	ALUMINIUM ALLOY ASSEMBLY FIXINGS AND/ OR SUPPORTS	H13
H13/670	BRASS ASSEMBLY FIXINGS	H13
H13/710	WORKMANSHIP GENERALLY	H13
H13/720	SUITABILITY OF SUPPORTING STRUCTURE	H13
H13/730	STRUCTURAL GLAZING	H13
H13/740	SEALANT JOINTS	H13
H13/750	STRUCTURAL SEALANT JOINTS	H13
H13/760	DOORS	H13
H13/935	OPENABLE WINDOWS IN NATURALLY VENTILATED BUILDINGS	H13
H14	PRECAST CONCRETE AND GLASS LENS/ PAVER ROOFLIGHTS/ FLOOR LIGHTS/ PAVEMENT LIGHTS/ SECURITY PANELS	H
H14/310	ROOFLIGHTS	H14
H14/315	FLOORLIGHTS	H14
H14/320	STAIR TREADS	H14
H14/325	PAVEMENT LIGHTS	H14
H14/330	NON GLAZED SMOKE OUTLET PANELS	H14
H14/340	SECURITY WINDOW PANELS	H14
H14/345	CONCRETE REINFORCEMENT	H14
H14/350	MORTAR BEDDING	H14
H14/355	MORTAR INFILL TO PERMANENTLY NON-ACCESSIBLE LIFTING SOCKETS	H14
H14/360	PERIMETER MOVEMENT JOINTS	H14
H14/365	INFORMATION	H14
H14/370	SAMPLES	H14
H14/601	SUITABILITY OF SURROUNDS/ SUPPORTS	H14
H14/605	ADVERSE WEATHER	H14
H14/610	INSTALLING PRECAST UNITS ON MORTAR BEDDING	H14
H14/615	INSTALLING PERIMETER MOVEMENT JOINTS	H14
H20	RIGID SHEET CLADDING	H
H20/150	SHEET CLADDING	H20
H20/155	SHEET CLADDING	H20
H20/210	CONTROL SAMPLES	H20
H20/230	TIMBER BATTENS	H20
H20/240	TREATED TIMBER	H20
H20/260	FIXING SHEETS	H20
H20/270	COVER STRIPS	H20
H21	TIMBER WEATHERBOARDING	H
H21/110	VERTICAL TIMBER WEATHERBOARDING	H21
H21/111	HORIZONTAL TIMBER WEATHERBOARDING	H21
H21/115	VERTICAL TIMBER WEATHERBOARDING	H21
H21/116	HORIZONTAL TIMBER WEATHERBOARDING	H21
H21/120	CONTROL SAMPLE	H21
H21/130	BREATHER MEMBRANE	H21
H21/135	BATTENS/ COUNTERBATTENS	H21
H21/140	FIXING BATTENS/ COUNTERBATTENS TO MASONRY	H21
H21/141	FIXING BATTENS/ COUNTERBATTENS TO FRAMING/ SHEATHING	H21
H21/142	FIXING BATTENS TO COUNTERBATTENS	H21
H21/145	TREATED TIMBER	H21
H21/150	SURFACE TREATMENT	H21
H21/160	FIXING BOARDING	H21
H30	FIBRE CEMENT PROFILED SHEET CLADDING/ COVERING	H
H30/110	FIBRE CEMENT	H30
H30/120	FIBRE CEMENT	H30
H30/150	GRP	H30
H30/151	PVC-U	H30
H30/155	POLYCARBONATE	H30
H30/160	PLASTICS	H30
H30/169	CONTRACTOR'S DESIGN	H30
H30/171	COMPLETION OF DESIGN	H30
H30/173	STRUCTURAL DESIGN PROVIDED	H30
H30/175	PRODUCT SAMPLES	H30
H30/178	FASTENER SAMPLES	H30
H30/185	PERFORMANCE COMPLIANCE	H30
H30/187	DEFLECTION OF FIBRE CEMENT CLADDING/ COVERING	H30
H30/190	DEFLECTION OF PLASTICS CLADDING/ COVERING	H30
H30/192	SOUND TRANSMITTANCE OF CLADDING/ COVERING SYSTEM - WEIGHTED	H30
H30/193	SOUND TRANSMITTANCE OF CLADDING/ COVERING SYSTEM - FREQUENCY SPECIFIC	H30
H30/194	INTERNAL SOUND ABSORPTION OF CLADDING/ COVERING SYSTEM	H30
H30/198	WATER PENETRATION	H30
H30/199	AVOIDANCE OF CONDENSATION	H30
H30/215	PAINTING STRUCTURE	H30
H30/219	FASTENERS	H30
H30/221	FITTINGS AND ACCESSORIES	H30
H30/223	FIBRE CEMENT FITTINGS	H30
H30/234	GUTTERS	H30
H30/240	FIBRE CEMENT LINING	H30
H30/243	FOAMED PLASTICS LINING	H30
H30/246	STEEL LINING	H30
H30/247	STEEL LINING	H30
H30/254	ACOUSTIC INSULATION	H30
H30/261	VAPOUR CONTROL MEMBRANE	H30
H30/310	MINERAL WOOL THERMAL INSULATION	H30
H30/311	MINERAL WOOL THERMAL INSULATION	H30
H30/350	BREATHER MEMBRANE	H30
H30/360	PROFILE FILLERS GENERALLY	H30
H30/370	FIRE RESISTING PROFILE FILLERS	H30
H30/410	FIXING SHEETS GENERALLY	H30
H30/415	FIXING FIBRE CEMENT SHEETS	H30
H30/450	FIXING PLASTICS SHEETS	H30
H30/453	METAL SHEETS	H30
H30/457	PLASTICS DOUBLE SKIN CONSTRUCTION	H30
H30/460	THERMAL MOVEMENT JOINTS	H30
H30/470	STRUCTURAL MOVEMENT JOINTS	H30
H30/530	FIBRE CEMENT GUTTERS	H30
H30/540	ABUTMENTS	H30
H30/550	SEALING LAPS ON EXTERNAL SHEETS	H30
H30/554	WATER VAPOUR SEALING AT LAPS AND PENETRATIONS IN METAL LININGS	H30
H30/555	WATER VAPOUR SEALING AT LAPS AND PENETRATIONS IN METAL LININGS	H30
H30/560	WARNING NOTICES	H30
H31	METAL PROFILED/ FLAT SHEET CLADDING/ COVERING	H
H31/110	METAL	H31
H31/120	METAL	H31
H31/150	GRP	H31
H31/151	PVC-U	H31
H31/155	POLYCARBONATE	H31
H31/160	PLASTICS	H31
H31/165	CONTRACTOR'S DESIGN	H31
H31/167	COMPLETION OF DESIGN	H31
H31/169	STRUCTURAL DESIGN PROVIDED	H31
H31/172	THERMAL PERFORMANCE/ BRIDGING	H31
H31/175	PRODUCT SAMPLES	H31
H31/176	FASTENER SAMPLES	H31
H31/185	PERFORMANCE COMPLIANCE	H31
H31/187	DEFLECTION OF METAL CLADDING/ COVERING	H31
H31/190	DEFLECTION OF PLASTICS CLADDING/ COVERING	H31
H31/192	SOUND TRANSMITTANCE OF CLADDING/ COVERING SYSTEM - WEIGHTED	H31
H31/193	SOUND TRANSMITTANCE OF CLADDING/ COVERING SYSTEM - FREQUENCY SPECIFIC	H31
H31/194	INTERNAL SOUND ABSORPTION OF CLADDING/ COVERING SYSTEM	H31
H31/198	WATER PENETRATION	H31
H31/200	AVOIDANCE OF INTERSTITIAL CONDENSATION	H31
H31/202	AVOIDANCE OF SURFACE CONDENSATION	H31
H31/215	PAINTING STRUCTURE	H31
H31/219	FASTENERS	H31
H31/221	FITTINGS AND ACCESSORIES	H31
H31/223	PREVENTION OF ELECTROLYTIC ACTION	H31
H31/234	GUTTERS	H31
H31/240	STEEL LINING	H31
H31/241	STEEL LINING	H31
H31/254	ACOUSTIC INSULATION	H31
H31/261	VAPOUR CONTROL MEMBRANE	H31
H31/270	MINERAL WOOL THERMAL INSULATION	H31
H31/271	MINERAL WOOL THERMAL INSULATION	H31
H31/280	BREATHER MEMBRANE	H31
H31/300	PROFILE FILLERS GENERALLY	H31
H31/305	FIRE RESISTING PROFILE FILLERS	H31
H31/310	PURPOSE MADE COLD FORMED METAL ACCESSORIES	H31
H31/410	FIXING SHEETS GENERALLY	H31
H31/419	FIXING PLASTICS SHEETS	H31
H31/435	PLASTICS MULTIPLE SKIN CONSTRUCTION	H31
H31/460	ACCOMMODATION OF THERMAL MOVEMENT	H31
H31/470	STRUCTURAL MOVEMENT JOINTS	H31
H31/480	FLASHINGS/ TRIMS GENERALLY	H31
H31/481	FLASHINGS/ TRIMS	H31
H31/482	BUTT JOINTED FLASHINGS/ TRIMS	H31
H31/540	ABUTMENTS	H31
H31/550	SEALING LAPS ON EXTERNAL SHEETS	H31
H31/554	WATER VAPOUR SEALING AT LAPS AND PENETRATIONS IN METAL LININGS - SEALANT TAPE	H31
H31/555	WATER VAPOUR SEALING AT LAPS AND PENETRATIONS IN METAL LININGS - ALUMINIUM TAPE	H31
H31/560	SAFETY SIGNS	H31
H32	PLASTICS PROFILED SHEET CLADDING/ COVERING	H
H32/110	GRP	H32
H32/111	PVC-U	H32
H32/115	POLYCARBONATE	H32
H32/120	PLASTICS	H32
H32/151	CONTRACTOR'S DESIGN	H32
H32/153	COMPLETION OF DESIGN	H32
H32/155	STRUCTURAL DESIGN PROVIDED	H32
H32/160	PRODUCT SAMPLES	H32
H32/165	FASTENER SAMPLES	H32
H32/175	PERFORMANCE COMPLIANCE	H32
H32/180	DEFLECTION	H32
H32/191	WATER PENETRATION	H32
H32/210	PAINTING STRUCTURE	H32
H32/213	FASTENERS	H32
H32/217	ACCESSORIES	H32
H32/220	PROFILE FILLERS	H32
H32/230	FIXING SHEETS GENERALLY	H32
H32/240	MULTIPLE SKIN CONSTRUCTION	H32
H32/260	ACCOMMODATION OF THERMAL MOVEMENT	H32
H32/320	ABUTMENTS	H32
H32/330	SEALING LAPS	H32
H32/340	WARNING NOTICES	H32
H40	GLASS FIBRE REINFORCED CONCRETE CLADDING/ COMPONENTS	H
H40/110	GRC CLADDING	H40
H40/120	GRC COMPONENTS	H40
H40/130	PROPRIETARY GRC COMPONENTS	H40
H40/205	CONTRACTOR'S DESIGN	H40
H40/207	COMPLETION OF DESIGN	H40
H40/209	STRUCTURAL DESIGN PROVIDED	H40
H40/220	FIXINGS AND FASTENERS TO CLADDING	H40
H40/225	FIXINGS AND FASTENERS TO COMPONENTS	H40
H40/230	AIR BARRIER	H40
H40/240	INFORMATION TO BE PROVIDED DURING DETAILED DESIGN	H40
H40/250	PRODUCT CONTROL SAMPLES	H40
H40/260	FIXING SAMPLES	H40
H40/270	MOCK-UP	H40
H40/330	PANEL ACCURACY	H40
H40/410	QUALITY CONTROL	H40
H40/420	DRY MATERIALS	H40
H40/430	WET MATERIALS	H40
H40/440	CURED MATERIALS	H40
H40/450	PRODUCTION NON-COMPLIANCE	H40
H40/510	ALKALI-RESISTANT GLASS FIBRE	H40
H40/520	CEMENT	H40
H40/530	SAND	H40
H40/540	MIXING WATER	H40
H40/550	ADMIXTURES	H40
H40/560	PIGMENTS	H40
H40/570	AGGREGATE FINISH	H40
H40/575	VENEER	H40
H40/580	SURFACE COATING	H40
H40/610	GENERALLY	H40
H40/615	MOULDS	H40
H40/620	CEMENTITIOUS SLURRY	H40
H40/625	PREMIX GRC	H40
H40/630	SPRAY-UP GRC	H40
H40/640	MIST COAT	H40
H40/645	FACE MIX	H40
H40/650	BACKING MIX	H40
H40/660	CONSOLIDATION	H40
H40/670	STUD FRAME	H40
H40/680	CURING NON-POLYMER GRADE GRC	H40
H40/685	CURING POLYMER GRADE GRC	H40
H40/710	GENERALLY	H40
H40/720	SUITABILITY OF STRUCTURE	H40
H40/730	INSTALLATION OF INTERFACES	H40
H40/740	METALWORK	H40
H40/750	WELDING	H40
H40/755	WELDING	H40
H40/760	ACCURACY OF ERECTION OF CLADDING	H40
H40/765	ACCURACY OF ERECTION OF GRC COMPONENTS	H40
H40/770	FIXING	H40
H40/780	SEALANT JOINTING	H40
H40/785	SEALANT JOINTING	H40
H41	GLASS FIBRE REINFORCED PLASTICS CLADDING/ FEATURES	H
H41/110	GRP SINGLE SKIN CLADDING	H41
H41/120	GRP DOUBLE SKIN INSULATED PANEL CLADDING	H41
H41/130	GRP PURPOSE MADE FEATURES	H41
H41/140	GRP PROPRIETARY FEATURES	H41
H41/205	CONTRACTOR'S DESIGN	H41
H41/207	COMPLETION OF DESIGN	H41
H41/209	STRUCTURAL DESIGN PROVIDED	H41
H41/215	THERMAL PERFORMANCE/ BRIDGING	H41
H41/220	WEATHER RESISTANCE	H41
H41/240	HORIZONTAL DEFLECTION OF VERTICAL PANELS	H41
H41/250	VERTICAL DEFLECTION OF HORIZONTAL PANELS	H41
H41/260	FIRE RATING CERTIFICATION	H41
H41/270	COLOUR FASTNESS/ APPEARANCE OF GRP	H41
H41/275	COLOUR FASTNESS/ APPEARANCE SAMPLES	H41
H41/285	COLOUR FASTNESS/ APPEARANCE OF EXISTING GRP	H41
H41/320	DESIGN SAMPLES	H41
H41/330	MOCK-UP	H41
H41/410	QUALITY OF WORK	H41
H41/440	MANUFACTURING ACCURACY	H41
H41/450	GEL COATS TO EXTERNAL SURFACES	H41
H41/460	LAMINATING	H41
H41/470	BONDING OF CONSTITUENTS	H41
H41/480	FIXINGS AND FASTENERS	H41
H41/490	SEALING OF UNITS	H41
H41/500	CURING	H41
H41/505	METAL POWDER FINISH	H41
H41/510	HARDNESS TESTING	H41
H41/530	WEIGHT TESTING	H41
H41/560	ADDITIONAL UNITS FOR DESTRUCTIVE TESTING	H41
H41/570	PRODUCTION RECORDS	H41
H41/580	RETENTION OF MOULDS AFTER PRODUCTION	H41
H41/605	PREPARATION	H41
H41/615	SUITABILITY OF STRUCTURE	H41
H41/625	INSTALLATION OF INTERFACES	H41
H41/630	ACCURACY OF ERECTION OF CLADDING	H41
H41/635	ACCURACY OF ERECTION OF GRP COMPONENTS	H41
H41/640	FINAL FIXING	H41
H41/645	METALWORK	H41
H41/650	SEALANT JOINTING SYSTEM	H41
H41/655	SEALANT JOINTING PROPRIETARY SYSTEM	H41
H41/660	OPEN DRAINED JOINTS	H41
H41/680	CLEANING DOWN	H41
H42	PRECAST CONCRETE PANEL CLADDING/ FEATURES	H
H42/10	INFORMATION TO BE PROVIDED WITH TENDER	H42
H42/110	PRECAST	H42
H42/115	PRECAST COMPOSITE	H42
H42/205	CONTRACTOR'S DESIGN	H42
H42/207	COMPLETION OF DESIGN	H42
H42/209	STRUCTURAL DESIGN PROVIDED	H42
H42/212	DESIGN PROPOSALS	H42
H42/216	INFORMATION TO BE PROVIDED DURING DETAILED DESIGN	H42
H42/217	QUALITY PLAN	H42
H42/218	INFORMATION TO BE PROVIDED BEFORE COMMENCEMENT OF MANUFACTURE OF CLADDING PANELS	H42
H42/222	FABRICATION SAMPLES	H42
H42/224	MOCK-UP	H42
H42/234	WEATHER RESISTANCE	H42
H42/236	THERMAL PROPERTIES	H42
H42/240	DURABILITY	H42
H42/244	INITIAL SURFACE ABSORPTION	H42
H42/261	COVER WHEN USING NATURAL STONE FACING	H42
H42/270	DIMENSIONAL COORDINATION	H42
H42/282	INSULATED PANELS - AVOIDANCE OF CONDENSATION	H42
H42/284	INSULATED PANELS - AVOIDANCE OF INTERSTITIAL CONDENSATION	H42
H42/286	ACOUSTIC PROPERTIES	H42
H42/310	CONCRETE MIXES GENERALLY	H42
H42/330	MIXES FOR VISIBLE FACES	H42
H42/340	RECORDS FOR EACH MIX TYPE	H42
H42/350	CONCRETE COMPRESSIVE STRENGTH TESTING AUTHORITY	H42
H42/351	CONCRETE COMPRESSIVE STRENGTH TESTING AUTHORITY	H42
H42/420	MANUFACTURING ACCURACY	H42
H42/430	FIXINGS	H42
H42/435	LIFTING POINTS	H42
H42/440	REINFORCEMENT	H42
H42/450	PLACING REINFORCEMENT.	H42
H42/460	CONSISTENCY OF PRODUCTION	H42
H42/470	PANELS WITH NATURAL STONE FACINGS	H42
H42/480	CASTING AND CURING	H42
H42/482	THERMAL INSULATION TO REAR OF PANELS	H42
H42/484	THERMAL INSULATION WITHIN SANDWICH PANELS	H42
H42/490	QUALITY OF FINISHES	H42
H42/500	PRODUCTION CONTROL PANELS	H42
H42/510	INSPECTION	H42
H42/520	RECORDS	H42
H42/610	INSTALLATION INSTRUCTIONS PROVIDED BY MANUFACTURER	H42
H42/630	ACCURACY OF ERECTION	H42
H42/640	FINAL FIXING	H42
H42/650	MORTAR BEDDING TO PANELS ON SUPPORT STRUCTURE	H42
H42/652	CEMENT:LIME:SAND MORTAR JOINTING TO NATURAL STONE FACINGS	H42
H42/653	CEMENT:LIME:CRUSHED STONE MORTAR JOINTING TO NATURAL STONE FACINGS	H42
H42/654	CEMENT:SAND MORTAR JOINTING TO NATURAL STONE FACINGS	H42
H42/660	SEALANT JOINTS	H42
H42/661	SEALANT JOINTS	H42
H42/670	OPEN DRAINED JOINTS	H42
H43	METAL COMPOSITE PANEL CLADDING/ COVERING	H
H43/110	METAL COMPOSITE PANEL	H43
H43/120	METAL COMPOSITE PANEL	H43
H43/130	METAL SEMI COMPOSITE PANEL	H43
H43/150	GRP	H43
H43/151	PVC-U	H43
H43/155	POLYCARBONATE	H43
H43/160	PLASTICS	H43
H43/165	CONTRACTOR'S DESIGN	H43
H43/167	COMPLETION OF DESIGN	H43
H43/169	STRUCTURAL DESIGN PROVIDED	H43
H43/172	THERMAL PERFORMANCE/ BRIDGING	H43
H43/175	PRODUCT SAMPLES	H43
H43/176	FASTENER SAMPLES	H43
H43/185	PERFORMANCE COMPLIANCE	H43
H43/187	DEFLECTION OF METAL CLADDING/ COVERING	H43
H43/190	DEFLECTION OF PLASTICS CLADDING/ COVERING	H43
H43/192	SOUND TRANSMITTANCE OF CLADDING/ COVERING SYSTEM - WEIGHTED	H43
H43/193	SOUND TRANSMITTANCE OF CLADDING/ COVERING SYSTEM - FREQUENCY SPECIFIC	H43
H43/194	INTERNAL SOUND ABSORPTION OF CLADDING/ COVERING SYSTEM	H43
H43/198	WATER PENETRATION	H43
H43/200	AVOIDANCE OF INTERSTITIAL CONDENSATION	H43
H43/202	AVOIDANCE OF SURFACE CONDENSATION	H43
H43/215	PAINTING STRUCTURE	H43
H43/219	FASTENERS	H43
H43/221	FITTINGS AND ACCESSORIES	H43
H43/223	PREVENTION OF ELECTROLYTIC ACTION	H43
H43/234	GUTTERS	H43
H43/272	THERMAL INSULATION FOR SEMI-COMPOSITE PANEL CLADDING/ COVERING	H43
H43/275	CONTINUITY THERMAL INSULATION	H43
H43/300	PROFILE FILLERS GENERALLY	H43
H43/310	PURPOSE MADE COLD FORMED METAL ACCESSORIES	H43
H43/410	FIXING PANELS AND SHEETS GENERALLY	H43
H43/419	FIXING PLASTICS CLADDING/ COVERING	H43
H43/470	STRUCTURAL MOVEMENT JOINTS	H43
H43/480	FLASHINGS/ TRIMS GENERALLY	H43
H43/481	FLASHINGS/ TRIMS	H43
H43/482	BUTT JOINTED FLASHINGS/ TRIMS	H43
H43/540	ABUTMENTS	H43
H43/550	SEALING EXTERNAL LAPS	H43
H43/555	SEALING AT LAPS AND PENETRATIONS IN SEMI-COMPOSITE PANEL LININGS	H43
H43/560	SAFETY SIGNS	H43
H51	NATURAL STONE SLAB CLADDING/ LINING/ FEATURES	H
H51/10	INFORMATION TO BE PROVIDED WITH TENDER	H51
H51/110	CLADDING TO	H51
H51/205	CONTRACTOR'S DESIGN	H51
H51/207	COMPLETION OF DESIGN	H51
H51/209	STRUCTURAL DESIGN PROVIDED	H51
H51/230	FIXINGS	H51
H51/245	INFORMATION TO BE PROVIDED DURING DETAILED DESIGN	H51
H51/247	QUALITY PLAN	H51
H51/261	STONE SAMPLES	H51
H51/271	FIXING SAMPLES	H51
H51/281	CONTROL SAMPLES	H51
H51/325	PRELIMINARY TEST INFORMATION	H51
H51/326	ADDITIONAL PRELIMINARY TEST INFORMATION	H51
H51/330	ACCURACY OF ERECTION	H51
H51/405	TESTING AUTHORITY	H51
H51/415	TESTING AUTHORITY	H51
H51/425	STONE PRODUCTION TESTS	H51
H51/435	SITE TESTING OF FIXINGS TO DETERMINE ULTIMATE LOAD	H51
H51/445	SITE TESTING OF FIXINGS DURING INSTALLATION	H51
H51/510	GENERALLY	H51
H51/520	CUTTING OF STONE	H51
H51/525	CUTTING OF STONE	H51
H51/530	INSPECTION OF STONE UNITS	H51
H51/540	SUITABILITY OF STRUCTURE	H51
H51/550	INSTALLATION OF INTERFACES	H51
H51/560	METALWORK	H51
H51/570	WELDING	H51
H51/580	FIXING	H51
H51/585	CEMENT:LIME:SAND MORTAR JOINTING	H51
H51/590	CEMENT:LIME:CRUSHED STONE MORTAR JOINTING	H51
H51/595	CEMENT:SAND:MORTAR JOINTING	H51
H51/600	SEALANT JOINTING	H51
H51/610	SEALANT JOINTING	H51
H51/620	SEALANT MOVEMENT/OTHER JOINTS	H51
H51/630	SEALANT MOVEMENT/ OTHER JOINTS	H51
H60	PLAIN ROOF TILING	H
H60/105	CLAY ROOF TILING	H60
H60/110	CLAY ROOF TILING WITH COUNTERBATTENS	H60
H60/120	CONCRETE ROOF TILING	H60
H60/125	CONCRETE ROOF TILING WITH COUNTERBATTENS	H60
H60/145	CLAY VERTICAL TILING	H60
H60/155	CONCRETE VERTICAL TILING	H60
H60/210	BASIC WORKMANSHIP	H60
H60/220	REMOVE EXISTING TILING	H60
H60/230	MINERAL WOOL INSULATION ON STRUCTURAL METAL LINER TRAYS	H60
H60/240	UNDERLAY	H60
H60/245	BATTENS/ COUNTERBATTENS - TREATED	H60
H60/247	BATTENS/ COUNTERBATTENS - UNTREATED	H60
H60/255	COUNTERBATTENS ON RIGID SARKING	H60
H60/257	COUNTERBATTENS ON STRUCTURAL METAL LINER TRAYS	H60
H60/259	COUNTERBATTENS ON RAFTERS	H60
H60/265	BATTEN FIXING	H60
H60/270	BATTENS FIXED TO MASONRY	H60
H60/272	TIMBER FOR TILING SUBSTRATE WORK	H60
H60/275	TILE FIXING	H60
H60/280	LOCAL AND GENERAL FIXING AREAS	H60
H60/290	MORTAR BEDDING/ POINTING	H60
H60/305	GENERALLY	H60
H60/325	FIRE SEPARATING WALLS	H60
H60/345	VENTILATED EAVES WITH INTEGRATED GRILLES/ TRAYS	H60
H60/355	VENTILATED EAVES WITH SEPARATED GRILLES/ TRAYS	H60
H60/365	UNVENTILATED EAVES	H60
H60/435	CLOAKED VERGES	H60
H60/445	MORTAR BEDDED VERGES WITH BEDDED UNDERCLOAK	H60
H60/455	MORTAR BEDDED VERGES WITH NAILED UNDERCLOAK	H60
H60/525	MITRED HIPS	H60
H60/555	MORTAR BEDDED HIPS	H60
H60/565	MORTAR BEDDED AND MECHANICALLY FIXED HIPS	H60
H60/585	ARRIS HIPS	H60
H60/595	BONNET HIPS	H60
H60/605	GRP VALLEYS	H60
H60/615	METAL VALLEYS	H60
H60/625	CURVED PLAIN TILE VALLEYS	H60
H60/635	MITRED VALLEYS	H60
H60/645	LACED VALLEYS	H60
H60/650	SWEPT VALLEYS	H60
H60/660	SIDE ABUTMENTS	H60
H60/670	TOP EDGE ABUTMENTS	H60
H60/675	TOP EDGE VENTILATED ABUTMENTS	H60
H60/690	ROOF WINDOWS	H60
H60/700	DRY VENTILATED RIDGES	H60
H60/710	DRY RIDGES	H60
H60/740	MORTAR BEDDED RIDGES	H60
H60/750	MORTAR BEDDED AND MECHANICALLY FIXED RIDGES	H60
H60/770	DRY VENTILATED MONO-RIDGES	H60
H60/775	DRY MONO-RIDGES	H60
H60/780	MORTAR BEDDED MONO-RIDGES	H60
H60/800	CHANGE OF ROOF PITCH	H60
H60/840	VENTILATOR TILES	H60
H60/850	ROOF SLOPE TERMINALS	H60
H60/860	PHOTOVOLTAIC MODULES	H60
H60/870	SUNDRY ACCESSORIES	H60
H60/910	BOTTOM EDGES	H60
H60/920	TOP EDGES	H60
H60/930	SIDE ABUTMENTS	H60
H60/940	ANGLES WITH ANGLE TILES	H60
H60/950	ANGLES WITH SOAKERS	H60
H60/960	JUNCTIONS WITH ROOF VERGES	H60
H61	FIBRE CEMENT SLATING	H
H61/105	ROOF SLATING	H61
H61/110	ROOF SLATING WITH COUNTERBATTENS	H61
H61/120	VERTICAL SLATING	H61
H61/210	BASIC WORKMANSHIP	H61
H61/220	REMOVING EXISTING SLATING	H61
H61/230	MINERAL WOOL INSULATION ON STRUCTURAL METAL LINER TRAYS	H61
